Son	↓0;d¦
günlerinde	↓0;d¦-------
kravat	↓0;d¦
takardı	↓0;d¦----
.	↓0;d¦

Kadehler	↓0;d¦---
onun	↓0;d¦---
şerefine	↓0;d¦---
kalktı	↓0;d¦--
.	↓0;d¦

Epey	↓0;d¦
iş	↓0;d¦
yaptılar	↓0;d¦-----
.	↓0;d¦

Memura	↓0;d¦-
ikibinüç'te	↓0;d¦---
Deppler	↑0¦↓1;d¦
geçmiş	↓0;d¦
IMF	↑0¦↓1;d¦
enflasyona	↓0;d¦-
göre	↓0;d¦
zam	↓0;d¦
sözü	↓0;d¦-
.	↓0;d¦

Şimdi	↓0;d¦
adımlarını	↓0;d¦------
daha	↓0;d¦
da	↓0;d¦
hızlandırmıştı	↓0;d¦--------
.	↓0;d¦

Korkunç	↓0;d¦
düşlerle	↓0;d¦-----
dolu	↓0;d¦
bir	↓0;d¦
uykuya	↓0;d¦--
sürüklenmek	↓0;d¦----
üzere	↓0;d¦
ydim	↓0;d--¦-
.	↓0;d¦

Ben	↓0;d¦
yavrumdan	↓0;d¦----
nasıl	↓0;d¦
ayrılırım	↓0;d¦----
?	↓0;d¦
Onu	↓0;d¦--
nerelere	↓0;d¦----
gönderirim	↓0;d¦----
?	↓0;d¦
diye	↓0;d¦
adamın	↓0;d¦--
ayaklarına	↓0;d¦------
kapanmış	↓0;d¦----
zavallı	↓0;d¦
kadın	↓0;d¦
.	↓0;d¦

Abim	↓0;d¦-
yiyecek	↓0;d¦
bir	↓0;d¦
şeyler	↓0;d¦---
getirmiştir	↓0;d¦------
,	↓0;d¦
herhalde	↓0;d¦
.	↓0;d¦

Hacim	↓0;d¦
siz	↓0;d¦
ve	↓0;d¦
sıkışık	↓0;d¦
seanslar	↓0;d¦---
geçiren	↓0;d¦--
borsa	↓0;d¦
umudunu	↓0;d¦----+t
seçim	↓0;d¦
sonrasına	↓0;d¦----
bağlamış	↓0;d¦---
görünüyor	↓0;d¦----
.	↓0;d¦

Ne	↓0;d¦
oluyorsun	↓0;d¦-------
?	↓0;d¦
diye	↓0;d¦
sordu	↓0;d¦--
.	↓0;d¦

Çoğu	↓0;d¦--+k
,	↓0;d¦
çok	↓0;d¦
kere	↓0;d¦
beni	↓0;d¦-
daha	↓0;d¦
çok	↓0;d¦
falan	↓0;d¦
filan	↓0;d¦
bulurlarmış	↓0;d¦--------
.	↓0;d¦

Ben	↓0;d¦
de	↓0;d¦
onu	↓0;d¦--
dövdüm	↓0;d¦---
.	↓0;d¦

Benim	↓0;d¦--
gibi	↓0;d¦
yüksek	↓0;d¦
tansiyonu	↓0;d¦-
olanlar	↓0;d¦-----
tuzsuz	↓0;d¦
da	↓0;d¦
yer	↓0;d¦
.	↓0;d¦

Uy	↓0;d¦
,	↓0;d¦
sevsinler	↓0;d¦------
seni	↓0;d¦-
!	↓0;d¦

Oğlunuza	↓0;d¦-→----+l
sarıldığınızda	↓0;d¦-----------
,	↓0;d¦
aklınızdan	↓0;d¦-→------+l
,	↓0;d¦
